name,location,phone_number,website,primary_practice
Markham and Sixteen Dental,Markham,2898597473.0,http://www.markhamand16thdental.com/,
Smiles on Seven Dental,Markham,2893012273.0,http://www.smilesonseven.com,
Metrosquare Dental &amp; Medical Clinic,Markham,2898064431.0,http://www.metrosquare-dental.com,
Smile Dental Arts Centre Inc ,Markham,2898062513.0,http://www.smiledentalartscentre.com,
Cares Dental Clinic,Markham,2895542100.0,http://www.ceresdentalclinic.com,
Dr. My Y Perry Lui,Markham,6474969897.0,,
Sun Dental Care,Markham,2898597442.0,http://www.sundentalcare.ca,
Dr. Miranda Wong,Markham,2898064432.0,http://www.metrosquare-dental.com,
Dr. Edwin Simon ,Markham,9054753338.0,,
Swan Dental,Markham,9054717926.0,http://www.swandental.ca,
New Delhi Dental,Markham,2898182991.0,,
Markham Heritage Helth Clinic,Markham,9054712967.0,http://www.markhamheritagehealthclinic.com,
Altima Woodbine Dental Centre,Markham,9054749205.0,http://www.altimadental.com,
EPICITI – Mobile Dental Care,Richmond-Hill,,http://www.mobiledentalclinic.ca/,
Mill Pond Dental,Richmond-Hill,9058847151.0,,
McSweeny Kevin P Dr,Richmond-Hill,9057808823.0,,
Wurman A Dr,Richmond-Hill,9057707233.0,,
Peltoniemi.R.Dr,Richmond-Hill,9057379099.0,,
Christophe Dale Dr Inc,Richmond-Hill,9058843186.0,,
Martin Lawrence Dr,Richmond-Hill,9057801222.0,,
White Oaks Medical-Dental Centre-Dental Office,Richmond-Hill,9057707707.0,,
Herzog Tammy Dr,Richmond-Hill,9057730224.0,,
The Esthene Centre For Dental Esthetics,Richmond-Hill,9057090005.0,,
Ziereisen Peter Dr,Richmond-Hill,6138385151.0,,
Richard Leo-Paul Dr,Richmond-Hill,9057318900.0,,
G C Spiers Denture Clinic,Richmond-Hill,9058844601.0,,
Zimmerman Daniel Dr,Richmond-Hill,9058860105.0,,
Harris Douglas J Dr,Richmond-Hill,9058843713.0,,
Kemp Dentistry Professional Corp,Richmond-Hill,9058847769.0,,
Guirguis Medhat Dr,Richmond-Hill,9057717645.0,,
Centre Dentaire Martin Turgeon,Richmond-Hill,9058863222.0,,
Humberland Dental,Richmond-Hill,2892100311.0,http://humberlanddental.com/wordpress/,
Art Dent Family Dentistry,Richmond-Hill,2893170750.0,,
Bayview Hill Orthodontics,Richmond-Hill,2893799487.0,http://bayviewhillortho.com,
Dr. David Michelberger,Richmond-Hill,9057734456.0,,
Dr. Aurel David Dentistry,Richmond-Hill,9055977778.0,,
Baluke Dental Studios,Richmond-Hill,2895140283.0,http://www.baluke.com,
Dr. Paul Hu,Richmond-Hill,9058830888.0,http://www.usmile2.ca,
Dr. George Lee,Richmond-Hill,9057620808.0,,
Viva Dental Care,Richmond-Hill,9055977750.0,http://vivadentalcare.com/,
X-Ray Associates,Richmond-Hill,9057370594.0,http://www.xrayassociates.org/,
Crown-Tech Dental Laboratories,Richmond-Hill,9057633456.0,,
Picasso Dental Studios,Richmond-Hill,9058839447.0,http://www.picassodentalstudios.com/,
Precision Tech Dental Labs Ltd,Richmond-Hill,9058833980.0,,
Monz Dental Lab,Richmond-Hill,9058833643.0,,
Star Dental Laboratory,Richmond-Hill,9057313154.0,,
Finch at Warden Dentistry,Scarborough,4164993322.0,http://www.finchatwardendentistry.com,
Scarborough Dentist,Scarborough,4166391136.0,http://dawsondental.ca/,
Polar Dental Centre,Scarborough,18884922268.0,http://www.polardental.com/,
Westford Dental Centre,Scarborough,6474978099.0,,
Toothworks,Scarborough,6475581661.0,,
Dr. Gus Servinis,Scarborough,4167567915.0,http://www.papefinchdental.com/,
Centenary Dental,Scarborough,18888972371.0,http://www.centenarydental.com,
White Willow Dental,Scarborough,6478468780.0,,
Sone’s On Sheppard Dental Centre,Scarborough,4164910737.0,,
Dentistry on Rochman,Scarborough,6475583055.0,http://www.dentistryonrochman.com/,
Family Dentistry at Markham and Lawrence,Scarborough,6478468657.0,http://www.familydentistryatmarkhamlawrence.ca/,
Dr. Edward Pong,Scarborough,4162987575.0,http://scarborough-oshawa-orthodontics.com/,
Dr. Paul Mirkopulos,Scarborough,4164972277.0,http://smilework.ca/,
Dr. Stephen Weingarten,Scarborough,4167517605.0,http://www.drstephenweingarten.com/,
Dr. Stacey Kirshenblatt Orthodontist,Scarborough,4164314222.0,,
Golfdale Dental Centre ,Scarborough,4164395111.0,http://www.golfdaledental.com/,
Midtown Denture Clinic,Scarborough,4167925121.0,http://www.midtowndenture.ca/,
Universal Smile Dental Clinic,Scarborough,4162888700.0,,
Dr. Margaret Krawczyk,Scarborough,4162676699.0,,
Dr. Wayne Grossman,Scarborough,4162865598.0,http://www.drwgrossman.ca/,
Neilson Dental Centre,Scarborough,6477920353.0,http://neilsondentalcentre.com/,
Apple Dentures,Scarborough,4164385440.0,http://appledentures.ca/,
Scarboro Dental Laboratories,Scarborough,4162970637.0,,
Extreme Dental Laboratories Inc,Scarborough,4162860111.0,http://www.extremedentallab.com/,
Noble Dental Laboratories Inc,Scarborough,4164495888.0,,
Delux Dental Laboratory Inc,Scarborough,4164382284.0,,
M N T Dental Laboratories,Scarborough,4162841225.0,http://www.mntdental.com/,
Isomorphics Dental Inc,Scarborough,4164319600.0,http://www.isomorphicsdental.com/,
Bio-Dent Laboratories,Scarborough,4162982848.0,http://www.biodentlab.com/,
Hona Dental Laboratory,Scarborough,4164924774.0,,
Progressive Smile Dental Lab,Scarborough,6474090707.0,http://progressivesmile.com/,
T M J Dental Laboratories,Scarborough,4162923080.0,,
Priority Dental Lab,Scarborough,4167525899.0,,
Maple Leaf Dental Orthodontic,Scarborough,4162672332.0,,
Chan Vincent Dental Lab,Scarborough,4162897571.0,,
Inter-Cast (Division Of Mnt Dental Lab),Scarborough,4162847449.0,,
Toronto Dentist Rosedale,Toronto,416639138.0,http://dawsondental.ca/our-locations/toronto-dentist/,
Toronto Dentist Queen Street,Toronto,4166391143.0,http://dawsondental.ca/our-locations/queen-street-dentists-in-toronto/,
Royal Bank Plaza Dental Centre,Toronto,4378893282.0,http://www.royaldentalcentre.com,
Dr. Claudia Wood,Toronto,4164616516.0,http://www.danforthdental.ca,
Dental Emergency Services,Toronto,6478468340.0,http://www.dentalemergencyservices.ca/,
Downtown Dental Care,Toronto,6475583392.0,http://www.dentalhouse.ca,
Dr. E. Tsimerman,Toronto,6475582575.0,http://www.oneyongedentaloffice.com,
Dr. Steven Stern,Toronto,6475561236.0,,
Bloor West Village Dental,Toronto,6474978043.0,http://www.bloorwestdentist.com/,
Dr. M. Strugurescu,Toronto,6478468046.0,http://www.danforthdentistry.com/,
Dr. Granowska &amp; Dr. Bailey,Toronto,6478467281.0,http://www.drbaileyanddrgranowskadentist.ca,
Dr. Richard Styka,Toronto,6476942463.0,http://www.drstyka.com,
Dentistry on Bay,Toronto,6475583107.0,http://www.dentistryonbay.com/,
Yonge Davisville Dentistry,Toronto,4164893344.0,http://www.yongedavisvilledentistry.com/,
Dr. Teresa Magus,Toronto,6475583042.0,,
Dr M. Sterling,Toronto,6474929298.0,,
Bloor West Smiles,Toronto,6478467276.0,http://www.bloorwestsmiles.com,
Endodontics Specialists,Toronto,4163601553.0,http://www.rootcanals.ca,
Bathurst Walk in Dental Centre,Toronto,4378893283.0,,
Dr Corp Professional,Toronto,4165326689.0,http://www.drbobadler.com/,
Dr. Norman Finkelstein,Toronto,4169600716.0,,
Pacific Dental,Toronto,4167629706.0,http://www.pacificdentalonbloor.com/,
Dr. Kathie Schenk,Toronto,4164669923.0,http://www.drschenk.ca/,
Niwong Susanne,Toronto,4169683649.0,http://drniwong.com,
Polar Dental Centre,Toronto,4167895359.0,http://www.polardental.com,
Doctor Vengjen Doris,Toronto,4164884441.0,http://alpine-dental.com/,
Millwood Dental Centre,Toronto,4164212131.0,,
Smile by Design Denture Clinic,Toronto,6477228751.0,http://www.designyoursmile.ca,
Dr. Jerry Vasilakos,Toronto,4169231733.0,http://www.planetdentistry.com,
Dr. Xu Mei Long,Toronto,4169698878.0,http://www.generaldent.com,
Queensway Dental,Toronto,6474976121.0,http://www.queenswaydental.net,
Dr. Karp Shelli,Toronto,4166091500.0,,
Fairview Mall Dental Centre,Toronto,6477922959.0,http://www.fairviewmalldentalcentre.com,
H&amp;M Dental&amp;Associates,Toronto,4169773974.0,http://www.torontodentistdowntown.ca/,
Hatamian Dentistry,Toronto,4164876453.0,http://www.hatamiandentistry.com/,
Portrait Dental,Toronto,4165346000.0,http://cosmeticdentiststoronto.ca/,
Yorkdon Dental,Toronto,4164412222.0,http://yorkdondental.com/,
